model,project,file,status,failed_total_tokens,peer_model,peer_tokens,peer_attempts,peer_action_seq,log_path,peer_log_path
o4mini,OS,OS__memory_manager__spec_impl__impl0__resolve_iommu_table_mapping.rs,FAILED,376639,claude,187545,8,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_iommu_table_mapping-20251128-223812/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_iommu_table_mapping-20251202-095114/verus-repair.log
gpt5,NR,NR__impl_u__os_refinement__extra_mappings_submap.rs,TIMEOUT,376408,claude-s4,1265313,19,postcondition_repair REVEAL_OPAQUE EXTENSIONAL_EQUALITY INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT CASE_ANALYSIS CASE_ANALYSIS ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251127-190320/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__extra_mappings_submap-20251203-190137/verus-repair.log
claude-s4,AL,AL__seq_pred_false_on_all_elements_implies_empty_filter.rs,FAILED,376175,claude,48280,6,postcondition_repair INDUCTION INDUCTION INSTANTIATE_FORALL ADD_TRIGGER_ASSERT,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__seq_pred_false_on_all_elements_implies_empty_filter-20251202-202720/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__seq_pred_false_on_all_elements_implies_empty_filter-20251130-174558/verus-repair.log
claude-s4,ST,ST__subregion_write_absolute.rs,FAILED,376006,o4mini,40328,4,precondition_repair precondition_repair EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_008/o-ST__subregion_write_absolute-20251204-103425/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_008/o-ST__subregion_write_absolute-20251129-091834/verus-repair.log
claude-s4,MA,MA__pigeonhole__set_mismatch.rs,FAILED,375870,o4mini,135609,10,postcondition_repair APPLY_LEMMA_subset_not_in_lt SEQSETMAP INDUCTIVE_LEMMA INDUCTION INDUCTION INSTANTIATE_FORALL INSTANTIATE_EXISTS INSTANTIATE_EXISTS,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__pigeonhole__set_mismatch-20251203-140837/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_004/o-MA__pigeonhole__set_mismatch-20251127-061433/verus-repair.log
claude,IR,IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty.rs,FAILED,373752,gpt5,138577,8,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INDUCTION CASE_ANALYSIS,all_batch_results-cyy-claude/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251201-105259/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-100654/verus-repair.log
o4mini,AL,AL__not_eventually_by_always_not.rs,FAILED,372013,claude,12851,3,postcondition_repair INSTANTIATE_EXISTS,all_batch_results-cyy-o4mini/results-batch_002/o-AL__not_eventually_by_always_not-20251125-192223/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__not_eventually_by_always_not-20251130-171615/verus-repair.log
o4mini,IR,IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty.rs,FAILED,370800,gpt5,138577,8,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INDUCTION CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-093252/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-100654/verus-repair.log
o4mini,AL,AL__leads_to_shortcut_temp.rs,FAILED,369979,claude,14333,3,postcondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_002/o-AL__leads_to_shortcut_temp-20251125-165843/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-AL__leads_to_shortcut_temp-20251130-163715/verus-repair.log
o4mini,AL,AL__unpack_conditions_from_spec.rs,TIMEOUT,369772,gpt5,60356,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-AL__unpack_conditions_from_spec-20251126-035756/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__unpack_conditions_from_spec-20251126-014144/verus-repair.log
o4mini,IR,IR__marshal_v__impl4__serialize.rs,FAILED,368029,claude,456276,20,loopnodec_repair postcondition_repair precondition_repair LOOPINV LOOPINV LOOPINV LOOPINV invariant_end_repair SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl4__serialize-20251127-015617/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl4__serialize-20251201-081510/verus-repair.log
o4mini,IR,IR__delegation_map_v__impl3__keys_in_index_range_agree.rs,FAILED,367274,gpt5,27884,3,postcondition_repair INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-IR__delegation_map_v__impl3__keys_in_index_range_agree-20251126-092241/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-IR__delegation_map_v__impl3__keys_in_index_range_agree-20251126-064320/verus-repair.log
o4mini,AL,AL__transform_leads_to_with_until.rs,TIMEOUT,367250,gpt5,71827,5,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-AL__transform_leads_to_with_until-20251126-025623/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__transform_leads_to_with_until-20251126-005738/verus-repair.log
claude,OS,OS__slinkedlist__spec_impl_u__impl2__remove_helper5.rs,FAILED,365876,claude-s4,124857,7,postcondition_repair CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS postcondition_repair USELEMMA,all_batch_results-cyy-claude/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251202-150651/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__slinkedlist__spec_impl_u__impl2__remove_helper5-20251204-150355/verus-repair.log
o4mini,AL,AL__true_pred_on_all_element_equal_to_pred_on_all_index.rs,TIMEOUT,365507,claude-s4,26420,4,postcondition_repair INSTANTIATE_FORALL ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_002/o-AL__true_pred_on_all_element_equal_to_pred_on_all_index-20251126-032623/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__true_pred_on_all_element_equal_to_pred_on_all_index-20251203-013553/verus-repair.log
o4mini,IR,IR__host_impl_v__impl2__effect_of_delegation_map_set.rs,FAILED,364590,claude,19777,3,postcondition_repair EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_002/o-IR__host_impl_v__impl2__effect_of_delegation_map_set-20251126-132840/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__host_impl_v__impl2__effect_of_delegation_map_set-20251201-011212/verus-repair.log
claude-s4,IR,IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective.rs,FAILED,364170,gpt5,47353,4,postcondition_repair USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251203-104900/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251126-171034/verus-repair.log
o4mini,AL,AL__leads_to_stable.rs,FAILED,363011,gpt5,144274,9,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_EXISTS precondition_repair INSTANTIATE_FORALL NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_002/o-AL__leads_to_stable-20251125-172531/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__leads_to_stable-20251125-171645/verus-repair.log
claude-s4,IR,IR__marshal_v__impl2__serialize.rs,FAILED,362853,gpt5,172935,10,loopnodec_repair postcondition_repair decfailend_repair decfailend_repair LOOPINV invariant_end_repair SEQSETMAP SEQSETMAP SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__marshal_v__impl2__serialize-20251203-120652/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl2__serialize-20251126-210359/verus-repair.log
o4mini,NR,NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero.rs,FAILED,361791,claude-s4,352438,18,postcondition_repair REVEAL_OPAQUE REVEAL_OPAQUE BIT_VECTOR_REASONING plain_text_repair plain_text_repair plain_text_repair COMPUTE CASE_ANALYSIS COMPUTE COMPUTE CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero-20251127-183328/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__impl0__lemma_addr_mask_when_hp_pat_is_zero-20251203-172522/verus-repair.log
gpt5,ST,ST__pmemutil_calculate_crc_bytes.rs,TIMEOUT,360474,claude,489850,20,postcondition_repair SEQSETMAP SEQSETMAP COMPUTE SEQSETMAP ADD_TRIGGER_ASSERT INDUCTIVE_LEMMA EXTENSIONAL_EQUALITY SEQSETMAP COMPUTE USELEMMA CASE_ANALYSIS,all_batch_results-cyy-gpt5/results-batch_008/o-ST__pmemutil_calculate_crc_bytes-20251129-085827/verus-repair.log,all_batch_results-cyy-claude/results-batch_008/o-ST__pmemutil_calculate_crc_bytes-20251202-111946/verus-repair.log
claude-s4,IR,IR__single_delivery_model_v__impl2__receive_impl.rs,FAILED,360418,gpt5,166061,6,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__single_delivery_model_v__impl2__receive_impl-20251203-135901/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_v__impl2__receive_impl-20251127-055440/verus-repair.log
claude-s4,NR,NR__impl_u__l2_impl__impl0__new_entry.rs,FAILED,359423,gpt5,51314,4,postcondition_repair USELEMMA USELEMMA,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__l2_impl__impl0__new_entry-20251203-175704/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__l2_impl__impl0__new_entry-20251127-164557/verus-repair.log
o4mini,ST,ST__logimpl_update_inactive_log_metadata.rs,FAILED,358727,claude,213317,11,postcondition_repair precondition_repair precondition_repair precondition_repair EXTENSIONAL_EQUALITY CASE_ANALYSIS USELEMMA USELEMMA ADD_TRIGGER_ASSERT EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251130-013608/verus-repair.log,all_batch_results-cyy-claude/results-batch_007/o-ST__logimpl_update_inactive_log_metadata-20251202-190502/verus-repair.log
gpt5,NR,NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path.rs,TIMEOUT,358487,claude-s4,401472,11,postcondition_repair USELEMMA INSTANTIATE_FORALL CASE_ANALYSIS ADD_TRIGGER_ASSERT CASE_ANALYSIS NONLINEAR_ARITHMETIC USELEMMA BIT_VECTOR_REASONING COMPUTE,all_batch_results-cyy-gpt5/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251128-154617/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251204-044502/verus-repair.log
claude,IR,IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective.rs,FAILED,357064,gpt5,47353,4,postcondition_repair USELEMMA USELEMMA,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251201-050657/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251126-171034/verus-repair.log
claude-s4,IR,IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty.rs,FAILED,357046,gpt5,138577,8,postcondition_repair EXTENSIONAL_EQUALITY SEQSETMAP ADD_TRIGGER_ASSERT INSTANTIATE_FORALL INDUCTION CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251203-150721/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-100654/verus-repair.log
claude-s4,IR,IR__marshal_v__impl2__lemma_serialize_injective.rs,FAILED,356231,claude,436788,20,postcondition_repair USELEMMA precondition_repair EXTENSIONAL_EQUALITY SEQSETMAP COMPUTE SEQSETMAP SEQSETMAP SEQSETMAP COMPUTE SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251203-120016/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251201-064700/verus-repair.log
claude-s4,OS,OS__pagetable__pagemap__impl0__init.rs,FAILED,356033,claude,47043,6,postcondition_repair postcondition_repair precondition_repair LOOPINV LOOPINV,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251204-074928/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__pagetable__pagemap__impl0__init-20251202-101417/verus-repair.log
o4mini,MA,MA__layout__mod_mul-poly.rs,TIMEOUT,355700,claude-s4,115181,11,postcondition_repair NONLINEAR_ARITHMETIC INTEGER_RING COMPUTE NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC INSTANTIATE_EXISTS NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_004/o-MA__layout__mod_mul-poly-20251127-034558/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__layout__mod_mul-poly-20251203-132500/verus-repair.log
o4mini,AL,AL__wf1.rs,FAILED,353538,gpt5,94185,6,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL precondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_002/o-AL__wf1-20251126-050516/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__wf1-20251126-022930/verus-repair.log
o4mini,AL,AL__always_implies_to_leads_to.rs,FAILED,351218,claude,60359,6,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_001/o-AL__always_implies_to_leads_to-20251126-181614/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__always_implies_to_leads_to-20251201-080122/verus-repair.log
o4mini,AL,AL__wf1_variant_temp.rs,FAILED,349990,gpt5,218571,10,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_002/o-AL__wf1_variant_temp-20251126-052950/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__wf1_variant_temp-20251126-024235/verus-repair.log
claude-s4,MA,MA__commit_mask__impl__create_empty.rs,FAILED,349509,claude,18639,4,postcondition_repair LOOPINV invariant_end_repair,all_batch_results-cyy-claude-s4/results-batch_003/o-MA__commit_mask__impl__create_empty-20251203-180726/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-MA__commit_mask__impl__create_empty-20251201-135031/verus-repair.log
gpt5,IR,IR__delegation_map_v__impl3__find_key.rs,TIMEOUT,346187,claude-s4,58831,8,loopnodec_repair loopnodec_repair postcondition_repair invariant_end_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_002/o-IR__delegation_map_v__impl3__find_key-20251126-054320/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_002/o-IR__delegation_map_v__impl3__find_key-20251203-032645/verus-repair.log
o4mini,IR,IR__marshal_v__impl4__lemma_same_views_serialize_the_same.rs,FAILED,344502,claude,55750,5,postcondition_repair USELEMMA USELEMMA USELEMMA,all_batch_results-cyy-o4mini/results-batch_003/o-IR__marshal_v__impl4__lemma_same_views_serialize_the_same-20251127-002826/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl4__lemma_same_views_serialize_the_same-20251201-073943/verus-repair.log
claude-s4,AL,AL__wf1_variant_temp.rs,FAILED,341902,gpt5,218571,10,postcondition_repair INSTANTIATE_FORALL INSTANTIATE_FORALL INSTANTIATE_FORALL CASE_ANALYSIS CASE_ANALYSIS CASE_ANALYSIS INSTANTIATE_FORALL INSTANTIATE_FORALL,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__wf1_variant_temp-20251203-020915/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__wf1_variant_temp-20251126-024235/verus-repair.log
gpt5,OS,OS__process_manager__container_tree__in_subtree_imply_exist_in_child.rs,TIMEOUT,341745,claude-s4,48933,4,postcondition_repair INSTANTIATE_EXISTS ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_007/o-OS__process_manager__container_tree__in_subtree_imply_exist_in_child-20251129-041945/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_007/o-OS__process_manager__container_tree__in_subtree_imply_exist_in_child-20251204-094229/verus-repair.log
claude,NO,NO__spec__linearization__trick_equiv.rs,FAILED,341216,gpt5,23370,3,postcondition_repair INDUCTION,all_batch_results-cyy-claude/results-batch_004/o-NO__spec__linearization__trick_equiv-20251201-120621/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NO__spec__linearization__trick_equiv-20251127-045806/verus-repair.log
claude-s4,AL,AL__seq_filter_is_a_subset_of_original_seq.rs,FAILED,341157,o4mini,15526,3,postcondition_repair INDUCTION,all_batch_results-cyy-claude-s4/results-batch_002/o-AL__seq_filter_is_a_subset_of_original_seq-20251202-195603/verus-repair.log,all_batch_results-cyy-o4mini/results-batch_002/o-AL__seq_filter_is_a_subset_of_original_seq-20251125-201734/verus-repair.log
o4mini,VE,VE__regular__leb128__impl2__lemma_spec_serialize_length.rs,TIMEOUT,339776,gpt5,96883,6,postcondition_repair REVEAL_WITH_FUEL INDUCTION INDUCTION bitvassert_repair,all_batch_results-cyy-o4mini/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251129-113400/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_008/o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251129-155617/verus-repair.log
o4mini,OS,OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping.rs,FAILED,338868,claude,240976,9,postcondition_repair postcondition_repair postcondition_repair postcondition_repair postcondition_repair ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT ADD_TRIGGER_ASSERT,all_batch_results-cyy-o4mini/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping-20251128-224632/verus-repair.log,all_batch_results-cyy-claude/results-batch_006/o-OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping-20251202-095403/verus-repair.log
o4mini,AL,AL__leads_to_exists_intro.rs,FAILED,338598,claude-s4,15681,3,postcondition_repair CASE_ANALYSIS,all_batch_results-cyy-o4mini/results-batch_001/o-AL__leads_to_exists_intro-20251127-004609/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_001/o-AL__leads_to_exists_intro-20251203-122219/verus-repair.log
gpt5,IR,IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of.rs,TIMEOUT,337131,claude,212545,11,postcondition_repair CASE_ANALYSIS precondition_repair CASE_ANALYSIS SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP SEQSETMAP ADD_TRIGGER_ASSERT,all_batch_results-cyy-gpt5/results-batch_003/o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251127-021841/verus-repair.log,all_batch_results-cyy-claude/results-batch_003/o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251201-083452/verus-repair.log
o4mini,NR,NR__impl_u__indexing__lemma_index_from_base_and_addr.rs,FAILED,336149,claude-s4,41423,5,postcondition_repair NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_004/o-NR__impl_u__indexing__lemma_index_from_base_and_addr-20251127-142514/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__indexing__lemma_index_from_base_and_addr-20251203-160449/verus-repair.log
o4mini,IR,IR__marshal_v__impl2__lemma_serialize_injective.rs,FAILED,334697,claude,436788,20,postcondition_repair USELEMMA precondition_repair EXTENSIONAL_EQUALITY SEQSETMAP COMPUTE SEQSETMAP SEQSETMAP SEQSETMAP COMPUTE SEQSETMAP EXTENSIONAL_EQUALITY,all_batch_results-cyy-o4mini/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251126-223212/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__marshal_v__impl2__lemma_serialize_injective-20251201-064700/verus-repair.log
o4mini,IR,IR__single_delivery_model_v__impl2__receive_impl.rs,FAILED,333169,gpt5,166061,6,postcondition_repair postcondition_repair CASE_ANALYSIS CASE_ANALYSIS SEQSETMAP,all_batch_results-cyy-o4mini/results-batch_003/o-IR__single_delivery_model_v__impl2__receive_impl-20251127-053104/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-IR__single_delivery_model_v__impl2__receive_impl-20251127-055440/verus-repair.log
o4mini,NR,NR__extra__subtract_mod_eq_zero.rs,FAILED,332826,claude,256514,17,postcondition_repair NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC CASE_ANALYSIS INTEGER_RING INTEGER_RING INTEGER_RING NONLINEAR_ARITHMETIC INTEGER_RING INTEGER_RING INTEGER_RING,all_batch_results-cyy-o4mini/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251127-134121/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-NR__extra__subtract_mod_eq_zero-20251201-132345/verus-repair.log
claude-s4,MA,MA__layout__bitand_with_mask_gives_rounding.rs,FAILED,331834,claude,95399,9,postcondition_repair INDUCTION BIT_VECTOR_REASONING INDUCTION bitvassert_repair BIT_VECTOR_REASONING NONLINEAR_ARITHMETIC NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-MA__layout__bitand_with_mask_gives_rounding-20251203-125056/verus-repair.log,all_batch_results-cyy-claude/results-batch_004/o-MA__layout__bitand_with_mask_gives_rounding-20251201-100612/verus-repair.log
o4mini,OS,OS__pagetable__entry__zero_leads_is_empty_page_entry.rs,FAILED,329291,claude-s4,144143,11,postcondition_repair BIT_VECTOR_REASONING COMPUTE CASE_ANALYSIS BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING BIT_VECTOR_REASONING,all_batch_results-cyy-o4mini/results-batch_006/o-OS__pagetable__entry__zero_leads_is_empty_page_entry-20251128-230359/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_006/o-OS__pagetable__entry__zero_leads_is_empty_page_entry-20251204-074554/verus-repair.log
o4mini,AL,AL__seq_filter_preserves_no_duplicates.rs,FAILED,329243,gpt5,67700,6,postcondition_repair INDUCTION INDUCTION INDUCTION INDUCTION,all_batch_results-cyy-o4mini/results-batch_002/o-AL__seq_filter_preserves_no_duplicates-20251125-201842/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_002/o-AL__seq_filter_preserves_no_duplicates-20251125-192857/verus-repair.log
claude,AL,AL__always_p_or_eventually_q_rec.rs,FAILED,328816,gpt5,21499,3,postcondition_repair INDUCTION,all_batch_results-cyy-claude/results-batch_001/o-AL__always_p_or_eventually_q_rec-20251201-080545/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AL__always_p_or_eventually_q_rec-20251126-170911/verus-repair.log
claude-s4,AL,AL__always_to_always_later.rs,FAILED,328134,gpt5,41620,4,postcondition_repair INSTANTIATE_FORALL CASE_ANALYSIS,all_batch_results-cyy-claude-s4/results-batch_001/o-AL__always_to_always_later-20251203-111016/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_001/o-AL__always_to_always_later-20251126-171911/verus-repair.log
o4mini,AL,AL__init_invariant.rs,FAILED,324607,claude,15707,3,postcondition_repair INSTANTIATE_FORALL,all_batch_results-cyy-o4mini/results-batch_001/o-AL__init_invariant-20251126-224954/verus-repair.log,all_batch_results-cyy-claude/results-batch_001/o-AL__init_invariant-20251201-090045/verus-repair.log
o4mini,MA,MA__bin_sizes__size_of_bin_mult_word_size.rs,FAILED,323143,gpt5,50034,5,postcondition_repair REVEAL_OPAQUE precondition_repair NONLINEAR_ARITHMETIC,all_batch_results-cyy-o4mini/results-batch_003/o-MA__bin_sizes__size_of_bin_mult_word_size-20251127-183949/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_003/o-MA__bin_sizes__size_of_bin_mult_word_size-20251127-173720/verus-repair.log
gpt5,IR,IR__delegation_map_v__impl3__values_agree.rs,TIMEOUT,321288,claude,25694,6,loopnodec_repair precondition_veclen_repair postcondition_repair postcondition_repair LOOPINV,all_batch_results-cyy-gpt5/results-batch_002/o-IR__delegation_map_v__impl3__values_agree-20251126-080405/verus-repair.log,all_batch_results-cyy-claude/results-batch_002/o-IR__delegation_map_v__impl3__values_agree-20251201-000257/verus-repair.log
gpt5,NR,NR__impl_u__os_refinement__interp_vmem_subrange.rs,TIMEOUT,318751,claude-s4,54892,4,postcondition_repair EXTENSIONAL_EQUALITY INSTANTIATE_EXISTS,all_batch_results-cyy-gpt5/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_subrange-20251127-193320/verus-repair.log,all_batch_results-cyy-claude-s4/results-batch_005/o-NR__impl_u__os_refinement__interp_vmem_subrange-20251203-191759/verus-repair.log
claude-s4,NR,NR__impl_u__indexing__lemma_entry_base_from_index.rs,FAILED,318121,gpt5,130500,8,postcondition_repair USELEMMA INSTANTIATE_FORALL INSTANTIATE_FORALL NONLINEAR_ARITHMETIC INSTANTIATE_FORALL NONLINEAR_ARITHMETIC,all_batch_results-cyy-claude-s4/results-batch_004/o-NR__impl_u__indexing__lemma_entry_base_from_index-20251203-155757/verus-repair.log,all_batch_results-cyy-gpt5/results-batch_004/o-NR__impl_u__indexing__lemma_entry_base_from_index-20251127-110207/verus-repair.log
